tweet_id,timestamp,source,text,rating_denominator,names,dog_stage,rating_numerator_new,tweet_id,jpg_url,tweet_id,favorite_count,retweet_count,breed_pred,pred_confidence,fraction
892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,10,Phineas,,13.0,666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,892420643555336193,34359,7146,welsh_springer_spaniel,0.465074,1.3
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",10,Tilly,,13.0,666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,892177421306343426,29799,5376,redbone,0.506826,1.3
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,10,Archie,,12.0,666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,891815181378084864,22416,3541,german_shepherd,0.596461,1.2
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,10,Darla,,13.0,666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,891689557279858688,37523,7342,rhodesian_ridgeback,0.408143,1.3
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",10,Franklin,,12.0,666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,891327558926688256,35851,7895,miniature_pinscher,0.560311,1.2
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,10,,,13.0,666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,891087950875897856,18093,2652,bernese_mountain_dog,0.651137,1.3
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",10,Jax,,13.0,666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,890971913173991426,10533,1703,,,1.3
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,10,,,13.0,666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,890729181411237888,57758,16066,chow,0.692517,1.3
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,10,Zoey,,13.0,666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,890609185150312448,24933,3683,golden_retriever,0.00795896,1.3
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,10,Cassie,doggo,14.0,666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,890240255349198849,28398,6201,miniature_poodle,0.201493,1.4
890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,10,Koda,,13.0,666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,890006608113172480,27443,6259,golden_retriever,0.77593,1.3
889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,10,Bruno,,13.0,666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,889880896479866881,24962,4238,gordon_setter,0.503672,1.3
889665388333682689,2017-07-25 01:55:32+00:00,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,10,,puppo,13.0,666073100786774016,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,889665388333682689,42752,8509,walker_hound,0.260857,1.3
889638837579907072,2017-07-25 00:10:02+00:00,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,10,Ted,,12.0,666082916733198337,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,889638837579907072,24038,3791,pug,0.489814,1.2
889531135344209921,2017-07-24 17:02:04+00:00,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,10,Stuart,puppo,13.0,666094000022159362,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,889531135344209921,13558,1913,bloodhound,0.195217,1.3
889278841981685760,2017-07-24 00:19:32+00:00,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,10,Oliver,,13.0,666099513787052032,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,889278841981685760,22461,4525,lhasa,0.58233,1.3
888917238123831296,2017-07-23 00:22:39+00:00,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,10,Jim,,12.0,666102155909144576,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,888917238123831296,26042,3824,english_setter,0.298617,1.2
888804989199671297,2017-07-22 16:56:37+00:00,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,10,Zeke,,13.0,666104133288665088,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,888804989199671297,22821,3605,,,1.3
